sents,NER_tag,intent
what is itralase 100 capsule used for?,O O B-drug I-drug I-drug O O,drug
can the use of jalra-m 50mg/1000 mg tablet lead to vitamin b12 deficiency?,O O O O B-drug I-drug I-drug I-drug O O B-disease I-disease I-disease,drug
how long will it take to get my thyroid levels under control?,O O O O O O O O B-disease I-disease O O,other
what are the instructions for storage and disposal of genumet xr cp tablet?,O O O O O O O O O B-drug I-drug I-drug I-drug,drug
what does a fistula smell like?,O O O B-disease O O,disease
can dynapar tablet be taken with vitamin b-complex?,O B-drug I-drug O O O B-drug I-drug,drug
how long does it take for vigora 50mg tablet md to work?,O O O O O O B-drug I-drug I-drug I-drug O O,drug
how long does it take for power vegra 100mg tablet to work?,O O O O O O B-drug I-drug I-drug I-drug O O,drug
human ectrapid 40 iu/ml solution for injection need to be refrigerated?,B-drug I-drug I-drug I-drug I-drug I-drug I-drug O O O O,drug
what should i know about the storage and disposal of neurobion rf fort injection?,O O O O O O O O O O B-drug I-drug I-drug I-drug,drug
how long does it take before we can see improvement in the symptoms of rickets?,O O O O O O O O O O O O O O B-disease,disease
should i take cilacar 10 tablet in the morning or at night?,O O O B-drug I-drug I-drug O O O O O O,drug
can ear infections cause ear pains in adults?,O B-disease I-disease O B-disease I-disease O O,disease
how does zentel oral suspension work?,O O B-drug I-drug I-drug O,drug
what blood test should be done to detect dengue?,O B-treatment I-treatment O O O O O B-disease,treatment
is diabetes insipidus same as diabetes mellitus?,O B-disease I-disease O O B-disease I-disease,disease
what are the instructions for storage and disposal of monticope tablet?,O O O O O O O O O B-drug I-drug,drug
my doctor has prescribed inderal 40 tablet even though my blood pressure is within normal limits. is it because of the chest pain that i complained of?,O O O O B-drug I-drug I-drug O O O B-treatment I-treatment O O O O O O O O O B-disease I-disease O O O O,treatment
is it safe to take alcohol while i am also taking glycomet-gp 1 tablet pr?,O O O O O O O O O O O B-drug I-drug I-drug I-drug,drug
can i breastfeed while taking reswas syrup?,O O O O O B-drug I-drug,drug
can i give allegra suspension raspberry and vanilla along with juices?,O O O B-drug I-drug I-drug I-drug I-drug O O O,drug
how do i come off levera 500 tablet?,O O O O O B-drug I-drug I-drug,drug
how long does it take for vigor 100 red tablet to work?,O O O O O O B-drug I-drug I-drug I-drug O O,drug
should tight bandages be applied to stop bleeding from the wound?,O B-treatment I-treatment O O O O B-disease I-disease I-disease I-disease,treatment
can ecosprin-av 75 capsule affect the liver?,O B-drug I-drug I-drug I-disease I-disease I-disease,drug
what should i do if i have indigestion?,O O O O O O O B-disease,disease
are there any foods that can improve memory?,O O O O O O B-treatment I-treatment,treatment
how long does it take for a fungal skin infections to clear up?,O O O O O O O B-disease I-disease I-disease O O O,disease
what is the importance of family members getting eye exams?,O O O O O O O O B-treatment I-treatment,treatment
can i stop taking inderal la 20 tablet sr as my chest pain is under control?,O O O O B-drug I-drug I-drug I-drug I-drug O O B-disease I-disease O O O,drug
i have been prescribed gabapin 300 capsule for pain. when will i start feeling better?,O O O O B-drug I-drug I-drug O O O O O O O O,drug
i have been taking triptomer 10mg tablet for depression since a week and recently i have been wanting to harm myself. what should i do? is it because of the medicine?,O O O O B-drug I-drug I-drug O B-disease O O O O O O O O O O O O O O O O O O O O O O,drug
how do i know if it's dandruff or dry scalp?,O O O O O O B-disease O B-disease I-disease,disease
why is azee 500 tablet given for 3 days?,O O B-drug I-drug I-drug O O O O,drug
what are the things which i need to know while taking fabstat 40 tablet?,O O O O O O O O O O O B-drug I-drug I-drug,drug
which lab tests may my child undergo while taking taxim-o dry syrup delicious pineapple on a long-term basis?,O B-treatment I-treatment O O O O O O B-drug I-drug I-drug I-drug I-drug O O O O,treatment
what are the different types of breast cancer?,O O O O O O B-disease I-disease,disease
what if i forget to take a dose of hetrazan 100 tablet?,O O O O O O O O O B-drug I-drug I-drug,drug
can cepodem 200 tablet cause constipation?,O B-drug I-drug I-drug O O,drug
will my child survive normally after a stem cell transplantation for blood cancer?,O O O O O O O B-treatment I-treatment I-treatment O B-disease I-disease,treatment
what is the difference between ear pain and ear infections?,O O O O O B-disease I-disease O B-disease I-disease,disease
are there any specific contraindications associated with the use of cyclopam tablet?,O O O O O O O O O O B-drug I-drug,drug
what are the complications of obstetric fistula?,O O O O O B-disease I-disease,disease
what is estrogen-progesterone therapy?,O O B-treatment I-treatment,treatment
is just tears eye drop bad?,O B-drug I-drug I-drug I-drug O,drug
what are the causes of vertigo?,O O O O O B-disease,disease
is depression an illness or a state of mind?,O B-disease O O O O O O O,disease
how long does ugesic sublingual tablet work?,O O O B-drug I-drug I-drug O,drug
why has my doctor asked me to get blood tests done?,O O O O O O O O B-treatment I-treatment O,treatment
what if i vomit after taking calpol 500mg tablet?,O O O B-disease O O B-drug I-drug I-drug,drug
what is the pathophysiology of liver cirrhosis?,O O O O O B-disease I-disease,disease
what is the recommended method of taking jardiens 10mg tablet?,O O O O O O O B-drug I-drug I-drug,drug
how do you stop a uti when you feel it coming?,O O O O O B-disease O O O O O,treatment
what is jigest 10mg tablet used for?,O O B-drug I-drug I-drug O O,drug
can the ecosprin-av 75 capsule cause muscle pain?,O O B-drug I-drug I-drug O B-disease I-disease,drug
what are the symptoms of high blood sugar?,O O O O O B-disease I-disease I-disease,disease
can i get hypothyroidism from my hypothyroidism treatments?,O O O B-disease O O B-treatment I-treatment,treatment
what is the difference between dolonex dt 20mg tablet and tramadol?,O O O O O B-drug I-drug I-drug I-drug O B-drug,drug
can stress cause urticaria?,O B-disease O B-disease,disease
how long should laxatives be used for?,O O O B-drug O O O,drug
what are the instructions for the storage and disposal of neosporin skin ointment?,O O O O O O O O O O B-drug I-drug I-drug,drug
does exercise help arthritis?,O B-treatment O B-disease,disease
how long does it take for vigor 50 red tablet to work?,O O O O O O B-drug I-drug I-drug I-drug O O,drug
what are the side effects of ketoford 2% cream?,O O O O O O B-drug I-drug I-drug,drug
what does buscopan 20mg injection treat and how does it work?,O O B-drug I-drug I-drug O O O O O O,drug
what are the warning signs of a stroke?,O O O O O O O B-disease,disease
is spondylosis curable?,O B-disease O,disease
will enzar forte tablet be more effective if taken in more than recommended dose?,O B-drug I-drug I-drug O O O O O O O O O O,drug
i have started using keraglo - ad anti-dandruff shampoo. by when can i expect to start seeing the improvements?,O O O O B-drug I-drug I-drug I-drug I-drug O O O O O O O O O O,other
what are the serious side effects of famocid 40 tablet?,O O O O O O O B-drug I-drug I-drug,drug
is tuberculosis deadly?,O B-disease O,disease
i have been prescribed gabapin 100 tablet for pain. when will i start feeling better?,O O O O B-drug I-drug I-drug O B-disease O O O O O O,drug
what all tests do my child need to undergo if he has abdominal pain?,O O O O O O O O O O O O B-disease I-disease,treatment
can i take forxiga 10mg tablet before surgery?,O O O B-drug I-drug I-drug O B-treatment,drug
is ganatan tablet bad for kidneys?,O B-drug I-drug O O O,drug
