sents,NER_tag,intent
what is nystatin prescribed for?,O O B-drug O O,drug
can douching after sex stop me from getting pregnant?,O O O O O O O O B-disease,other
does percocet cause weight gain,O B-drug O B-disease I-disease,drug
does 2 or 2 1/2 glasses of wine a day caues high blood pressure?,O O O O O O O O O O O B-disease I-disease I-disease,disease
can too much buttermilk cause thrush?,O O O O O B-disease,disease
is it safe to take emergen-c while pregnant?,O O O O O B-drug O O,drug
how can i protect my skin from dryness this winter?,O O O O O O O B-disease O O,treatment
is there a cream that can fix wrinkles on your penis head glans when flaccid?,O O O O O O O B-disease O O O O O O B-disease,disease
can yeast infection cause back pain in lower right?,O B-disease I-disease O B-disease I-disease O O O,disease
is it wrong to take antibiotics for colds?,O O O O O B-drug O B-disease,drug
is tendonitis the same as a pulled tendon,O B-disease O O O O B-disease I-disease,disease
could taking valium result in a false positive on a pregnency test?,O O B-drug O O O O O O O B-treatment I-treatment,drug
can coconut oil cure jock itch or is there something better to cure it?,O B-drug I-drug O B-disease I-disease O O O O O O O O,treatment
can i have sex with a pregnant woman while taking valasiclovir?,O O O O O O O O O O B-drug,other
will a blood transfusion get rid of herpes,O O B-treatment I-treatment O O O B-disease,treatment
do testosterone injections cause weight gain,O B-drug I-drug O B-disease I-disease,drug
brownish vaginal discharge every two weeks in my 12 year old. is this normal?,B-disease I-disease I-disease O O O O O O O O O O O,disease
scoliosis. does it effect the stomach and breathing.,B-disease O O O O O O O,disease
what is an acne scar?,O O O B-disease I-disease,disease
is foliculitis a form of herpes type 1,O B-disease O O O B-disease I-disease I-disease,disease
can you get pregnant if you take adderall?,O O O O O O O B-drug,drug
i have some hip pain 9 weeks. had mra image recently would welcome second opinion?,O O O B-disease I-disease O O O B-treatment I-treatment O O O O O,treatment
what pericarditis the relationship between periodontitpericarditis and hiv?,O B-disease O O O O O B-disease,disease
how can you turn off histamine with natural remedy,O O O O O B-drug O O O,disease
37 year old had tubal done 11 years ago having tender breasts and milky discharge?,O O O O B-treatment O O O O O B-disease I-disease O B-disease I-disease,disease
is creon fda approved and covered by most insurance?,O B-drug O O O O O O O,drug
can sharing a hair brush or comb transfer eczema from one person to another?,O O O O O O O O B-disease O O O O O,disease
is cirrhosis contagious,O B-disease O,disease
is the risk for heart disease reduced by lowering cholesterol?,O O O O B-disease I-disease O O O B-disease,other
what happens if all of the sac from a sebaceous cyst is not removed?,O O O O O O O O O B-disease I-disease O O O,disease
who can get pink eye?,O O O B-disease I-disease,disease
can ebola virus be transmitted by sexual intercrouse,O B-disease I-disease O O O O O,disease
